_c0,metro,price,way,views,provider,fee_percent,storey,minutes,storeys,living_area,kitchen_area,total_area
797, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
798, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
799, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
800, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
801, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
802, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
803, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
804, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
805, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
806, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
807, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
808, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
809, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
810, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
811, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
812, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
813, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
814, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
815, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
816, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
817, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
818, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
819, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
820, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
821, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
822, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
823, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
824, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
825, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
826, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
827, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
828, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
829, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
830, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
831, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
832, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
833, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
834, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
835, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
836, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
837, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
838, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
839, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
840, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
841, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
842, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
843, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
844, Preobrazhenskaia ploshchad ,40000,walk,60,realtor                 ,30,3,17,9,20,8,35
845, Rasskazovka ,30000,walk,2728,owner                 ,0,12,10,17,22,8,33
846, Planernaia ,45000,walk,513,realtor                    ,50,7,10,12,19,8,38
847, VDNKh ,50000,walk,389,realtor                    ,50,16,10,16,18,8,41
848, Alekseevskaia ,50000,walk,483,realtor                    ,50,5,3,12,19,5,33
849, Sviblovo ,38000,walk,414,realtor                    ,50,3,15,5,37,37,37
850, Rimskaia ,55999,walk,360,realtor                    ,99,6,7,17,21,10,40
851, Perovo ,29000,walk,5174,realtor                    ,40,2,15,5,17,7,31
852, Nekrasovka ,40000,walk,69,realtor                    ,40,10,5,17,18,11,41
853, Planernaia ,39000,walk,795,realtor                    ,50,8,10,9,18,7,33
854, Planernaia ,35000,walk,687,realtor                    ,50,6,15,9,17,6,34
855, Riazanskii prospekt ,40000,walk,437,realtor                    ,50,9,5,12,20,10,35
856, VDNKh ,40000,transport,344,realtor                    ,50,10,5,16,19,10,35
857, Medvedkovo ,32000,walk,445,realtor                    ,50,1,15,12,19,7,38
858, Medvedkovo ,35000,walk,214,realtor                    ,50,9,10,14,18,10,39
859, Khovrino ,38000,walk,224,realtor                    ,50,6,7,9,17,6,33
860, Okskaia ,59999,walk,103,realtor                    ,99,3,7,33,17,5,26
861, Vystavochnaia ,185000,walk,28,owner                 ,0,4,4,11,14,24,53
862, Otradnoe ,38000,walk,283,owner                 ,0,7,5,12,19,10,39
863, Kuntcevskaia ,45000,walk,40,owner                 ,0,6,15,9,19,7,33
864, Shabolovskaia ,20000,walk,73,realtor                 ,50,5,10,8,20,10,40
865, Dobryninskaia ,22000,walk,56,realtor                 ,50,10,5,14,22,11,42
866, Paveletckaia ,20000,walk,38,realtor                 ,50,7,6,10,22,11,42
867, Altufevo ,37000,walk,21,realtor                 ,30,7,10,12,21,8,38
868, Tcaritcyno ,45000,transport,30,owner                 ,0,5,5,15,25,14,52
869, Shchelkovskaia ,47000,walk,25,realtor                 ,50,4,12,14,21,10,38
870, Skhodnenskaia ,28000,walk,66,realtor                 ,50,4,14,9,10,7,37
871, Solntcevo ,25000,walk,189,realtor                 ,0,6,5,23,20,10,36
872, Ulitca Starokachalovskaia ,25000,walk,173,realtor                 ,0,5,5,17,20,10,38
873, Zhulebino ,25000,walk,102,realtor                 ,0,5,5,12,20,10,35
